canonical_id,canonical_name,entity_type,group,accepted_cluster_count,observed_mentions,accepted_authority_variants,first_document_dates,review_cluster_ids,reviewer_notes
person_john_martin,Captain John Martin,PERSON,colonial_individual,3,Captaine Martin | Iohn Martin | John Martin,John Martin,"JULY 24, 1621 | MAY 8, 1622 | MARCH 13, 1622",VC00023 | VC00044 | VC00046,
person_john_smith,Captain John Smith,PERSON,colonial_individual,2,John Smith | Iohn Smith,John Smith,"February 18, 1609 | MAY 2, 1621",VC00010 | VC00022,
person_william_tucker,Captain William Tucker,PERSON,colonial_individual,1,Captaine Tucker,William Tucker,"JUNE 18, 1621",VC00037,
person_george_sandys,George Sandys,PERSON,colonial_individual,1,Georg Sandys,George Sandys,"JULY 10, 1621",VC00040,
person_john_ferrar,John Ferrar,PERSON,Virginia_Company_officer,2,John Ferrar | Iohn Ferrar,John Ferrar,"MAY 2, 1621",VC00027 | VC00043,
person_john_rolfe,John Rolfe,PERSON,colonial_individual,2,John Rolfe | Iohn Rolfe,John Rolfe,"May 8, 1619 | APRIL 30, 1621",VC00017 | VC00045,
person_nicholas_ferrar,Nicholas Ferrar,PERSON,Virginia_Company_officer,2,Nicholas Ferrar | Nicholas Farrar,Nicholas Ferrar,"JANUARY 29, 1620 | NOVEMBER 21, 1621",VC00011 | VC00018,
person_edwin_sandys,Sir Edwin Sandys,PERSON,Virginia_Company_officer,2,Edwin Sandys | Edwyn Sandys,Edwin Sandys,"February 28, 1610 | JANUARY 29, 1620",VC00001 | VC00006,
person_francis_wyatt,Sir Francis Wyatt,PERSON,colonial_individual,4,Francis Wyate | Francis Wyatt | Frances Wyat | Francis Wyat,Francis Wyatt,"JANUARY 29, 1620 | JULY 10, 1621 | JUNE 13, 1621 | FEBRUARY 22, 1620",VC00016 | VC00026 | VC00038 | VC00039,
person_george_yeardley,Sir George Yeardley,PERSON,colonial_individual,2,George Yeardley | George Yeardly,George Yeardley,"February 28, 1610 | JANUARY 29, 1620",VC00015 | VC00042,
person_samuel_argall,Sir Samuel Argall,PERSON,colonial_individual,3,Samuel Argall | Captaine Argall | Samuell Argoll,Samuel Argall,"April 20, 1619 | JULY 10, 1621 | JANUARY 30, 1622",VC00009 | VC00036 | VC00049,
person_thomas_dale,Sir Thomas Dale,PERSON,colonial_individual,1,Thomas Dale,Thomas Dale,"December 13, 1611",VC00008,
person_thomas_gates,Sir Thomas Gates,PERSON,colonial_individual,1,Thomas Gates,Thomas Gates,"November 20, 1606",VC00013,
person_thomas_smythe,Sir Thomas Smythe,PERSON,Virginia_Company_officer,2,Thomas Smythe | Thomas Smith,Thomas Smythe,"April 28, 1619 | October 30, 1605",VC00005 | VC00032,
