cluster_id,observed_mention,decision,first_document_date,proposal_1_canonical_id,proposal_1_canonical_name,proposal_1_score,reviewer,evidence_note,source_context
VC00002,Smith,uncertain,"February 18, 1609",person_thomas_smythe,Sir Thomas Smythe,1,,,"February 18, 1609: this period, leaves, as the only source of
information, both for affairs in England and in Virginia, the narratives of
the early settlers. Of these the most important are the reports of Captain
Newport, and the relations of John Smith, of Edward Maria Wingfield, and of
George Percy.* The council had dispatched three expeditions, all under
Captain Newport; one in December, 1606, in three ships with 120 emigrants;
another in October, 1607, with two vessels and a || December 13, 1611: ll
labor was to be regulated as if it were a military discipline and the produce
was to belong to the common store. Thus the evils of the early settlement
were to be avoided. But of necessity this plan was temporary. Argall, like
Smith, was a good colonizer. The explorations of Smith and his trade with the
Indians, together with the order and prosperity which were brought by Dale,
resulted in the founding of various settlements, such as Henrico and others
farth"
VC00003,Martin,uncertain,"August 9, 1611",person_john_martin,Captain John Martin,1,,,"August 9, 1611: e been unnoticed. From it comes a knowledge of
correspondence between the governor and Bermuda Hundred and Kicoughtan, and
between the governor and the company in London. A complaint of the largeness
of privilege given to Captain Martin in his grant is significant because of
the long contest during later years, between the company and Captain Martin
over this patent. There are, too, a number of commissions to officers for
trade and for command, and several warra || August 17, 1611: e been
unnoticed. From it comes a knowledge of correspondence between the governor
and Bermuda Hundred and Kicoughtan, and between the governor and the company
in London. A complaint of the largeness of privilege given to Captain Martin
in his grant is significant because of the long contest during later years,
between the company and Captain Martin over this patent. There are, too, a
number of commissions to officers for trade and for command, and several
warra"
VC00004,Argall,uncertain,"April 20, 1619",person_samuel_argall,Sir Samuel Argall,1,,,"April 20, 1619: structions to Gates were issued and the laws of Dale were
approved, is apparent. Whether it was due entirely to the necessities arising
from the changed conditions in the colony heretofore noted or to the abuse of
power by Samuel Argall, from 1616 to 1619, is uncertain. Whether it was but a
reflection of the growing popular sentiment within the company by which the
generality exercised the powers of administration or whether it was due to
the influence of the “o || August 22, 1618: structions to Gates were issued
and the laws of Dale were approved, is apparent. Whether it was due entirely
to the necessities arising from the changed conditions in the colony
heretofore noted or to the abuse of power by Samuel Argall, from 1616 to
1619, is uncertain. Whether it was but a reflection of the growing popular
sentiment within the company by which the generality exercised the powers of
administration or whether it was due to the influence of the “o"
VC00007,George Sandys,reject,"JANUARY 29, 1620",person_edwin_sandys,George Sandys,1,,,"JANUARY 29, 1620: , Lord Pagett, Sir Francis Wyate, Sir Edward Sackville,
Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr. Bearblock, Mr. Gibbe, Mr.
Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr. Mellinge, Mr. Earle, Mr.
Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas Ferrar, Mr. Combe, Mr.
Doctor Anthony, Mr. Ditchfield, Mr. Baynham, Mr. Sheppard, Mr. Seaward, Mr.
Wyddowes, Mr. Bromefield, Mr. Wheately, Mr. Sparrowe, Mr. Newport, Mr.
Kightley, with divers others. My Lord of Sou || FEBRUARY 22, 1620: RT HELD
FOR VIRGINIA 22: FEBRUARY 1620: PRESENT: S' Edwin Sandys, M' Smith, M'
Whitly, S' Iohn Dauers, Captain Bargraue, M' Palmer, S' Francis Wyate, M'
Termin, M' Widdowes, M' Deputy, M' Doctor Anthony, M' Baynam, M' Wroth, M'
George Sandys, M' Edwarde, M' Wrote, M' Hicks, M' Melling, M' Gibbe, M'
Nicholas Ferrar, M' Roberte, M' Sheppard, M' Cranmer, M' Viner, M' Casewell,
M' Beareblock, M' Smith, M' Chamberlen, with divers others. S' Edwin Sandys
signified vnto t"
VC00012,Stith,uncertain,"October 4, 1825",person_thomas_smythe,Sir Thomas Smythe,0.8,,,"October 4, 1825: nia Historical Society and commonly known as the [John]
Randolph [of Roanoke] copy, has been a subject of doubt and discussion,
arising from the conflicting descriptions of the volumes by the early
historians of Virginia, William Stith and John D. Burk, and by the editor of
many of the documents in 1809, William Hening. The following statements with
regard to the first group made by Mr. Jefferson in a letter to Hugh P.
Taylor, October 4, 1825, will serve as a b || October 19, 1825: nia Historical
Society and commonly known as the [John] Randolph [of Roanoke] copy, has been
a subject of doubt and discussion, arising from the conflicting descriptions
of the volumes by the early historians of Virginia, William Stith and John D.
Burk, and by the editor of many of the documents in 1809, William Hening. The
following statements with regard to the first group made by Mr. Jefferson in
a letter to Hugh P. Taylor, October 4, 1825, will serve as a b"
VC00014,Tucker,uncertain,"JANUARY 29, 1620",person_william_tucker,Captain William Tucker,1,,,"JANUARY 29, 1620: ENT the right honourable: Earl of Southampton, Sir
Edwin Sandys, Lord Cavendish, Sir John Dauers, Lord Pagett, Sir Francis
Wyate, Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch,
Mr. Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin,
Mr. Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr.
Nicholas Ferrar, Mr. Combe, Mr. Doctor Anthony, Mr. Ditchfield, Mr. Baynham,
Mr. Sheppard, Mr. Seaward, Mr. Wyddowes, Mr. || APRIL 30, 1621: APRIL 30,
1621 Capt. Nowce. Mr. Wheatly. Mr. Rugles. Mr. Geo: Sandys. Mr. Boothby. Mr.
Widdowes. Doctor Anthony. Mr. Barbor. Mr. Baynain. Mr. Smith. Mr. Couell. Mr.
Kwens. Mr. Shepperd. Mr. Combs. Mr. Steward. Mr. Bull. Captain Tucker. Mr.
Casewell. Whereas it hath been taken into consideration how importantly
necessary it is to establish two such officers in Virginia as Marshall and
Treasurer, whereby the one might take into his care and charge as well the"
VC00019,Samuell Argall,needs_review,"August 9, 1611",person_samuel_argall,Sir Samuel Argall,0.964,,,"August 9, 1611: the List of Records post, p. 125, Nos. 39, 40. For full
citation of these abstracts of about twenty documents, see Ibid., Nos. 40,
42-48, 50-52, 55-57, 64, 65, 67, 74, 75. Reprinted in the Virginia Historical
Register, I. (1) Sir Samuell Argall to Nicholas Hawes, June, 1613; (2)
Whittaker to Crashaw, August 9, 1611; (3) Perey to Northumberland, August 17,
1611; (4) Dale to Winwood, June 3, 1616; (5) Dale to D. M., June 18, 1614;
(6) Whittaker to Master G., June 18, 1614 || August 17, 1611: the List of
Records post, p. 125, Nos. 39, 40. For full citation of these abstracts of
about twenty documents, see Ibid., Nos. 40, 42-48, 50-52, 55-57, 64, 65, 67,
74, 75. Reprinted in the Virginia Historical Register, I. (1) Sir Samuell
Argall to Nicholas Hawes, June, 1613; (2) Whittaker to Crashaw, August 9,
1611; (3) Perey to Northumberland, August 17, 1611; (4) Dale to Winwood, June
3, 1616; (5) Dale to D. M., June 18, 1614; (6) Whittaker to Master G., June
18, 1614"
VC00020,Ferrar,uncertain,"JULY 2, 1621",person_nicholas_ferrar,Nicholas Ferrar,1,,,"JULY 2, 1621: ide and certified as would appeare) to the end they might
be accorded without longer delay or farther sute. Whereupon the Courte
thought fit that some five of the Counsell should be entreated to meet on
Fryday morning next at Mr. Ferrar's house to heare and determine the same if
they can or otherwise to make reporte how the cause stands between them, and
in whome the default is that an agreement cannot be made. [248] Mr. Thomas
Iadwin moved that whereas Thomas W || November 12, 1624: U. S. The only
document relating to Virginia which is not reproduced in that collection is a
repetition of the proclamation of the King of England concerning tobacco,
bearing the date November 12, 1624. COLLECTIONS IN ENGLAND FERRAR PAPERS The
most unique collection in England for the study of the Virginia Company is
that in the possession of Magdalen College, Cambridge. As the property of
Nicholas and John Ferrar, who were second only to Sir Edwin Sandys"
VC00021,George Smith,reject,"JULY 10, 1621",person_thomas_smythe,Sir Thomas Smythe,0.792,,,"JULY 10, 1621: s. Mr. Smith. Mr. Nicholas Ferrar. Mr. Risley. Mr.
Holloway. Mr. Casewell. Mr. Lawrence. Mr. Cartwright. Mr. Barnarde. Mr.
Couell. Mr. Abdy. Mr. Wiseman. Mr. Leuor. Mr. Tucker. Mr. Ayres. Mr. Newport.
Mr. Palmer. Mr. Edwards. Mr. George Smith. Mr. Whitley. Mr. Ruggell. Mr.
Feligate. Mr. Darnelly. Mr. Essington. Mr. Morrice. Captain Hamor. Mr.
Chamberlyn. Mr. Meuerell. Mr. Bull. Mr. Bagwell. Mr. Woodall. Mr. Hackett.
Mr. Cuffe. Mr. Ewre. Mr. Wells. Mr. Colethurst. Mr. || JULY 16, 1621: nefit
of the Patent he took of this Company, that therefore his said patent might
be called in unless it might appear he would begin to Plant within the limits
of the Southern Colony. Hereupon the Court appointed Mr. Roberte, Mr. George
Smith, and Mr. Webb to treat with Mr. Peirce about it and certifie at the
next Court what answer they should receive from him. For so much as the
Physicians place to the Company was now become void by reason of the untimely
death of Do"
VC00024,Farrars,uncertain,"NOVEMBER 21, 1621",person_nicholas_ferrar,Nicholas Ferrar,0.857,,,"NOVEMBER 21, 1621: er it to a select Committee to be reviewed; and
thereupon did nominate Mr. Herbert, Mr. Iermyn, Mr. Brooks, Mr. Wrote, Mr.
Earle, Mr. Nicholas Farrar, Mr. Gibbs, authorising them or any fower of them
to meet about the same at Mr. Farrars house when Mr. Deputy shall appoint,
and to call Capt. Martin before them and to require a sight of the said
Patent and whatsoever other writing that may concerne the same, which they
are entreated diligently to peruse and examin || NOVEMBER 21, 1621: e should
be further cause giuen to moue them to take some course for remedy hereof;
whereupon these hereunder named were nominated and desired to meet vpon the
next Saturday following at two of the Clocke in the afternoone at Mr. Farrars
house, vizt: Lo: Cauendish. Lo: Padgett. Sr. Edw: Sackuill. Sr. Fran:
Egiocke. Sr. Dudly Digge. Sr. Io: Dauers. Sr. Walter Earle. Sr. Sam: Sandys.
Sr. Phil: Carey. Sr. Lawr Hyde. [MARGINAL NOTE: 297] Sr. R"
VC00025,Sandys,uncertain,"APRIL 30, 1621",person_edwin_sandys,Sir Edwin Sandys,1,,,"APRIL 30, 1621: APRIL 30, 1621 Capt. Nowce. Mr. Wheatly. Mr. Rugles. Mr.
Geo: Sandys. Mr. Boothby. Mr. Widdowes. Doctor Anthony. Mr. Barbor. Mr.
Baynain. Mr. Smith. Mr. Couell. Mr. Kwens. Mr. Shepperd. Mr. Combs. Mr.
Steward. Mr. Bull. Captain Tucker. Mr. Casewell. Whereas it hath been taken
into consideration || JUNE 25, 1621: s charge which amounted to the Sume of
at least 150, the same having been againe taken into consideration at this
last meeting and finding the Companies Stocke no way able to performe the
same (as things now stood) It pleased Mr. Sandys out of a desire to advance
so hopefull a worke and to ease the Company of the present charge to offer to
take the said Italians to himselfe in leiu of those men that were to be
allowed him by the Company in respect of his office"
VC00028,Lady Dale,reject,"JUNE 11, 1621",person_thomas_dale,Sir Thomas Dale,1,,,"JUNE 11, 1621: fit a Pinace should be provided to be ready against
September next for carrying the Silkworme seed for which my Lord had writ
into Italy, France, and Spayne, which is promised to be here by that time. He
further signified that my Lady Dale, late the wife of Sir Thomas Dale
deceased, that worthy Knight and great advancer of the Virginia Action,
desired a Patent for a particular Plantation which was granted and that
direction should be given to the Governor to allot || JUNE 13, 1621: y back
from Virginia to give satisfaction here if need did require, it was thought
fit that Mr. Hide, and Mr. Earle did consider of this point and examine the
authority of the Company touching the same. The Patent granted to my Lady
Dale for a particular Plantation in Virginia being drawn in the usual forme
and now presented to be read was referred to a Committee to peruse the same;
which being approved by them, order was given to Mr. Deputy to affixe the
Seal th"
VC00029,Robert Smith,reject,"MAY 2, 1621",person_john_smith,Captain John Smith,0.792,,,"MAY 2, 1621: amuell Sandys, Sr. Nicholas Tufton, Sr. Iohn Dauers, Sr.
Walter Earle, Sr. Richard Worsley, Sr. Henry Rainsford, Sr. Francis Wyate,
Mr. Deputy Ferrar, Mr. George Sandys, Captain Tucker, Mr. Toby Palavicine,
Captain Wm. Newce, Mr. Robert Smith, Mr. Thomas Gibbs, Captain Bargraue, Mr.
Challon, Mr. John Zouch, Mr. Wm. Oxenbridge, Mr. Porter, Mr. Iohn Smith, Mr.
Kempe, Mr. Moone, Doctor Winstone, Mr. Henry Rainsford, Mr. Jefferson, Doctor
Anthony, Mr. Edw: Gibbs, Mr. Shep || OCTOBER 24, 1621: OCTOBER 24, 1621 At A
Court HELD the 24th of October 1621. Mr. Deputy. Mr. Abra: Chamberlyne. Mr.
Widdowes. Mr. Gibbs. Mr. Berblock. Mr. Baynam. Doctor Winstone. Mr. Blande.
Mr. Bolton. Mr. Robert Smith. Mr. Bull. Mr. Meuerell. Mr. Iohn Smith. Mr.
Bennett. Mr. Morewoode. Mr. Nich: Ferrar. Mr. Ayres. Mr. Lambe. Captaine
Bargraue. Mr. Wiseman. Mr. Georg Smith. Mr. Tomlynis. Mr. Darnelly. Mr.
Roberté. Mr. Stewarde. Mr. Caswell. Mr."
