cluster_id,observed_mention,candidate_id,mention_count,first_document_date,decision,accepted_canonical_id,accepted_proposal_rank,accepted_authority_variant,proposal_1_canonical_id,proposal_1_canonical_name,proposal_1_matched_variant,proposal_1_score,proposal_1_rationale,proposal_2_canonical_id,proposal_2_canonical_name,proposal_2_matched_variant,proposal_2_score,proposal_2_rationale,proposal_3_canonical_id,proposal_3_canonical_name,proposal_3_matched_variant,proposal_3_score,proposal_3_rationale,reviewer,evidence_note,source_context
VC00001,Edwin Sandys,PC00003,39,"February 28, 1610",needs_review,,,,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname plus given-name comparison,person_george_sandys,George Sandys,George Sandys,0.792,surname plus given-name comparison,,,,,,,,"February 28, 1610: plantation until the issue of the “Great Charter of privileges, orders, and Lawes” in November, 1618. Otherwise, the whole course of the activity of the company under Sir Thomas Smythe was in strong contrast with the work of Sir Edwin Sandys. It was a care on the part of the company is also seen in the general instructions of 1609 to the lieutenant-governor of Virginia, which are known only through a copy of the sixth article, preserved in the papers of the Marquis o || December 13, 1611: monopoly of the importation of the only lucrative staple, tobacco. Again, in 1619, when the time for free importation from the plantation had expired, they most eagerly sought an adjustment with the Crown, although, in 1614, Sir Edwin Sandys, by this time the leading spirit in the company, had been the chairman in the House committee which reported against monopolies. To such an extent had the colony now grown that the instructions given to Sir George Yeardley in Nov"
VC00002,Smith,PC00007,24,"February 18, 1609",needs_review,,,,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,1.000,surname-only comparison,person_john_smith,Captain John Smith,Captain John Smith,1.000,surname-only comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,1.000,surname-only comparison,,,"February 18, 1609: this period, leaves, as the only source of information, both for affairs in England and in Virginia, the narratives of the early settlers. Of these the most important are the reports of Captain Newport, and the relations of John Smith, of Edward Maria Wingfield, and of George Percy.* The council had dispatched three expeditions, all under Captain Newport; one in December, 1606, in three ships with 120 emigrants; another in October, 1607, with two vessels and a || December 13, 1611: ll labor was to be regulated as if it were a military discipline and the produce was to belong to the common store. Thus the evils of the early settlement were to be avoided. But of necessity this plan was temporary. Argall, like Smith, was a good colonizer. The explorations of Smith and his trade with the Indians, together with the order and prosperity which were brought by Dale, resulted in the founding of various settlements, such as Henrico and others farth"
VC00003,Martin,PC00012,20,"August 9, 1611",needs_review,,,,person_john_martin,Captain John Martin,John Martin,1.000,surname-only comparison,,,,,,,,,,,,,"August 9, 1611: e been unnoticed. From it comes a knowledge of correspondence between the governor and Bermuda Hundred and Kicoughtan, and between the governor and the company in London. A complaint of the largeness of privilege given to Captain Martin in his grant is significant because of the long contest during later years, between the company and Captain Martin over this patent. There are, too, a number of commissions to officers for trade and for command, and several warra || August 17, 1611: e been unnoticed. From it comes a knowledge of correspondence between the governor and Bermuda Hundred and Kicoughtan, and between the governor and the company in London. A complaint of the largeness of privilege given to Captain Martin in his grant is significant because of the long contest during later years, between the company and Captain Martin over this patent. There are, too, a number of commissions to officers for trade and for command, and several warra"
VC00004,Argall,PC00015,18,"April 20, 1619",needs_review,,,,person_samuel_argall,Sir Samuel Argall,Samuel Argall,1.000,surname-only comparison,,,,,,,,,,,,,"April 20, 1619: structions to Gates were issued and the laws of Dale were approved, is apparent. Whether it was due entirely to the necessities arising from the changed conditions in the colony heretofore noted or to the abuse of power by Samuel Argall, from 1616 to 1619, is uncertain. Whether it was but a reflection of the growing popular sentiment within the company by which the generality exercised the powers of administration or whether it was due to the influence of the “o || August 22, 1618: structions to Gates were issued and the laws of Dale were approved, is apparent. Whether it was due entirely to the necessities arising from the changed conditions in the colony heretofore noted or to the abuse of power by Samuel Argall, from 1616 to 1619, is uncertain. Whether it was but a reflection of the growing popular sentiment within the company by which the generality exercised the powers of administration or whether it was due to the influence of the “o"
VC00005,Thomas Smythe,PC00021,16,"April 28, 1619",needs_review,,,,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,1.000,surname plus given-name comparison,person_john_smith,Captain John Smith,Captain John Smith,0.792,surname plus given-name comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.792,surname plus given-name comparison,,,"April 28, 1619: UNDER SIR THOMAS SMYTHE 25 pelled against its will to submit to the treatment of its plantation as a penal colony by James I in his spasmodic efforts to develop a policy which should save England from an overpopulation of vagabonds.* With the exception || January 2, 1606: UNDER SIR THOMAS SMYTHE 25 pelled against its will to submit to the treatment of its plantation as a penal colony by James I in his spasmodic efforts to develop a policy which should save England from an overpopulation of vagabonds.* With the exception"
VC00006,Edwyn Sandys,PC00023,15,"JANUARY 29, 1620",needs_review,,,,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname plus given-name comparison,person_george_sandys,George Sandys,George Sandys,0.792,surname plus given-name comparison,,,,,,,,"JANUARY 29, 1620: ther Commodities as the Governor and Counsell of Virginia shall have also excepted. 3. Thirdly that the Clause touching examination upon oath be cleane left out. 4. Fourthly that there be an exception of all Mynes & Minerals. Sir Edwyn Sandys signified that my Lord of Southampton being one of the greatest and most ancient Adventurers of this Company having now a desire with the help and Assistance of some of his friends to undertake and advance a particular Plantation || SANUARY 29, 1620: dgett. Sir Thomas ffinch. Sir Nicholas Tufton. Sir Walter Earle. Sir Iohn Dauers. Sir William Twisden. Sir Francis Wyate. Sir Robert Phillip. Sir Samuell Sandys. Sir Francis Wyneman. Mr. Henry Mannering. Sir Edwyn Sandys. Mr. John Wroth. Sir Edward Lawly. Sir Phillip Carey. Mr. Gibbé. Doctor Gulston. Mr. Kightly. Mr. Chamberlaine. Mr. Deputy Ferrar. Mr. Iermyne. Mr. Mellinge. Mr. Bromfeild. Mr. Steward. Mr. Seaward."
VC00007,George Sandys,PC00026,14,"JANUARY 29, 1620",needs_review,,,,person_george_sandys,George Sandys,George Sandys,1.000,surname plus given-name comparison,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,0.792,surname plus given-name comparison,,,,,,,,"JANUARY 29, 1620: , Lord Pagett, Sir Francis Wyate, Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr. Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr. Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas Ferrar, Mr. Combe, Mr. Doctor Anthony, Mr. Ditchfield, Mr. Baynham, Mr. Sheppard, Mr. Seaward, Mr. Wyddowes, Mr. Bromefield, Mr. Wheately, Mr. Sparrowe, Mr. Newport, Mr. Kightley, with divers others. My Lord of Sou || FEBRUARY 22, 1620: RT HELD FOR VIRGINIA 22: FEBRUARY 1620: PRESENT: S' Edwin Sandys, M' Smith, M' Whitly, S' Iohn Dauers, Captain Bargraue, M' Palmer, S' Francis Wyate, M' Termin, M' Widdowes, M' Deputy, M' Doctor Anthony, M' Baynam, M' Wroth, M' George Sandys, M' Edwarde, M' Wrote, M' Hicks, M' Melling, M' Gibbe, M' Nicholas Ferrar, M' Roberte, M' Sheppard, M' Cranmer, M' Viner, M' Casewell, M' Beareblock, M' Smith, M' Chamberlen, with divers others. S' Edwin Sandys signified vnto t"
VC00008,Thomas Dale,PC00030,14,"December 13, 1611",needs_review,,,,person_thomas_dale,Sir Thomas Dale,Thomas Dale,1.000,surname plus given-name comparison,,,,,,,,,,,,,"December 13, 1611: awes Divine, Morall and Martiall, &c., entered for publication on December 13, 1611, is a code first established by Sir Thomas Gates, May 24, 1610, approved by the lord governor, June 12, 1610, and exemplified and enlarged by Sir Thomas Dale, June 22, 1611. They are reprinted in Force, Tracts, Vol. III. || May 24, 1610: awes Divine, Morall and Martiall, &c., entered for publication on December 13, 1611, is a code first established by Sir Thomas Gates, May 24, 1610, approved by the lord governor, June 12, 1610, and exemplified and enlarged by Sir Thomas Dale, June 22, 1611. They are reprinted in Force, Tracts, Vol. III."
VC00009,Samuel Argall,PC00037,13,"April 20, 1619",needs_review,,,,person_samuel_argall,Sir Samuel Argall,Samuel Argall,1.000,surname plus given-name comparison,,,,,,,,,,,,,"April 20, 1619: the instructions to Gates were issued and the laws of Dale were approved, is apparent. Whether it was due entirely to the necessities arising from the changed conditions in the colony heretofore noted or to the abuse of power by Samuel Argall, from 1616 to 1619, is uncertain. Whether it was but a reflection of the growing popular sentiment within the company by which the generality exercised the powers of administration or whether it was due to the influence of the “o || August 22, 1618: the instructions to Gates were issued and the laws of Dale were approved, is apparent. Whether it was due entirely to the necessities arising from the changed conditions in the colony heretofore noted or to the abuse of power by Samuel Argall, from 1616 to 1619, is uncertain. Whether it was but a reflection of the growing popular sentiment within the company by which the generality exercised the powers of administration or whether it was due to the influence of the “o"
VC00010,John Smith,PC00058,9,"February 18, 1609",needs_review,,,,person_john_smith,Captain John Smith,Captain John Smith,1.000,surname plus given-name comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,1.000,surname plus given-name comparison,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison,,,"February 18, 1609: ering this period, leaves, as the only source of information, both for affairs in England and in Virginia, the narratives of the early settlers. Of these the most important are the reports of Captain Newport, and the relations of John Smith, of Edward Maria Wingfield, and of George Percy.* The council had dispatched three expeditions, all under Captain Newport; one in December, 1606, in three ships with 120 emigrants; another in October, 1607, with two vessels and a || May 8, 1619: needs, as reported from time to time by returning ships, afforded the adventurers a body of information concerning the social condition of the colony which in form and accuracy left little to be desired. After the time of Captain John Smith not much was accurately known of the colony until the year 1617, when Captain John Rolfe and Ralph Hamor supplied statistics as to the numbers, condition, settlements, and resources of the colony as it then was. The individual en"
