detail_id,cluster_id,observed_mention,candidate_id,rank,proposed_canonical_id,proposed_canonical_name,matched_authority_variant,match_score,matching_rationale
VR00001,VC00001,Edwin Sandys,PC00003,1,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname plus given-name comparison
VR00002,VC00001,Edwin Sandys,PC00003,2,person_george_sandys,George Sandys,George Sandys,0.792,surname plus given-name comparison
VR00003,VC00002,Smith,PC00007,1,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,1.000,surname-only comparison
VR00004,VC00002,Smith,PC00007,2,person_john_smith,Captain John Smith,Captain John Smith,1.000,surname-only comparison
VR00005,VC00002,Smith,PC00007,3,person_john_smith_of_nibley,John Smith of Nibley,John Smith,1.000,surname-only comparison
VR00006,VC00003,Martin,PC00012,1,person_john_martin,Captain John Martin,John Martin,1.000,surname-only comparison
VR00007,VC00004,Argall,PC00015,1,person_samuel_argall,Sir Samuel Argall,Samuel Argall,1.000,surname-only comparison
VR00008,VC00005,Thomas Smythe,PC00021,1,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,1.000,surname plus given-name comparison
VR00009,VC00005,Thomas Smythe,PC00021,2,person_john_smith,Captain John Smith,Captain John Smith,0.792,surname plus given-name comparison
VR00010,VC00005,Thomas Smythe,PC00021,3,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.792,surname plus given-name comparison
VR00011,VC00006,Edwyn Sandys,PC00023,1,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname plus given-name comparison
VR00012,VC00006,Edwyn Sandys,PC00023,2,person_george_sandys,George Sandys,George Sandys,0.792,surname plus given-name comparison
VR00013,VC00007,George Sandys,PC00026,1,person_george_sandys,George Sandys,George Sandys,1.000,surname plus given-name comparison
VR00014,VC00007,George Sandys,PC00026,2,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,0.792,surname plus given-name comparison
VR00015,VC00008,Thomas Dale,PC00030,1,person_thomas_dale,Sir Thomas Dale,Thomas Dale,1.000,surname plus given-name comparison
VR00016,VC00009,Samuel Argall,PC00037,1,person_samuel_argall,Sir Samuel Argall,Samuel Argall,1.000,surname plus given-name comparison
VR00017,VC00010,John Smith,PC00058,1,person_john_smith,Captain John Smith,Captain John Smith,1.000,surname plus given-name comparison
VR00018,VC00010,John Smith,PC00058,2,person_john_smith_of_nibley,John Smith of Nibley,John Smith,1.000,surname plus given-name comparison
VR00019,VC00010,John Smith,PC00058,3,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison
VR00020,VC00011,Nicholas Ferrar,PC00059,1,person_nicholas_ferrar,Nicholas Ferrar,Nicholas Ferrar,1.000,surname plus given-name comparison
VR00021,VC00011,Nicholas Ferrar,PC00059,2,person_john_ferrar,John Ferrar,John Ferrar,0.781,surname plus given-name comparison
VR00022,VC00012,Stith,PC00060,1,person_thomas_smythe,Sir Thomas Smythe,Thomas Smith,0.800,surname-only comparison
VR00023,VC00012,Stith,PC00060,2,person_john_smith,Captain John Smith,Captain John Smith,0.800,surname-only comparison
VR00024,VC00012,Stith,PC00060,3,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.800,surname-only comparison
VR00025,VC00013,Thomas Gates,PC00061,1,person_thomas_gates,Sir Thomas Gates,Thomas Gates,1.000,surname plus given-name comparison
VR00026,VC00014,Tucker,PC00071,1,person_william_tucker,Captain William Tucker,William Tucker,1.000,surname-only comparison
VR00027,VC00015,George Yeardley,PC00077,1,person_george_yeardley,Sir George Yeardley,George Yeardley,1.000,surname plus given-name comparison
VR00028,VC00016,Francis Wyate,PC00088,1,person_francis_wyatt,Sir Francis Wyatt,Francis Wyatt,0.850,surname plus given-name comparison
VR00029,VC00017,John Rolfe,PC00090,1,person_john_rolfe,John Rolfe,John Rolfe,1.000,surname plus given-name comparison
VR00030,VC00018,Nicholas Farrar,PC00095,1,person_nicholas_ferrar,Nicholas Ferrar,Nich: ffarrar,1.000,surname plus given-name comparison
VR00031,VC00019,Samuell Argall,PC00101,1,person_samuel_argall,Sir Samuel Argall,Samuel Argall,0.964,surname plus given-name comparison
VR00032,VC00020,Ferrar,PC00113,1,person_nicholas_ferrar,Nicholas Ferrar,Nicholas Ferrar,1.000,surname-only comparison
VR00033,VC00020,Ferrar,PC00113,2,person_john_ferrar,John Ferrar,John Ferrar,1.000,surname-only comparison
VR00034,VC00021,George Smith,PC00115,1,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison
VR00035,VC00021,George Smith,PC00115,2,person_john_smith,Captain John Smith,Captain John Smith,0.792,surname plus given-name comparison
VR00036,VC00021,George Smith,PC00115,3,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.792,surname plus given-name comparison
VR00037,VC00022,Iohn Smith,PC00118,1,person_john_smith,Captain John Smith,Captain John Smith,0.938,surname plus given-name comparison
VR00038,VC00022,Iohn Smith,PC00118,2,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.938,surname plus given-name comparison
VR00039,VC00022,Iohn Smith,PC00118,3,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison
VR00040,VC00023,Captaine Martin,PC00153,1,person_john_martin,Captain John Martin,John Martin,0.781,surname plus given-name comparison
VR00041,VC00024,Farrars,PC00160,1,person_nicholas_ferrar,Nicholas Ferrar,Nich: ffarrar,0.857,surname-only comparison
VR00042,VC00025,Sandys,PC00174,1,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname-only comparison
VR00043,VC00025,Sandys,PC00174,2,person_george_sandys,George Sandys,George Sandys,1.000,surname-only comparison
VR00044,VC00026,Francis Wyatt,PC00207,1,person_francis_wyatt,Sir Francis Wyatt,Francis Wyatt,1.000,surname plus given-name comparison
VR00045,VC00027,John Ferrar,PC00220,1,person_john_ferrar,John Ferrar,John Ferrar,1.000,surname plus given-name comparison
VR00046,VC00027,John Ferrar,PC00220,2,person_nicholas_ferrar,Nicholas Ferrar,Nicholas Ferrar,0.781,surname plus given-name comparison
