mention_id,mention,canonical_candidate,entity_type_suggestion,group_suggestion,source_file,char_offset,context,annotation_status,notes
IM00001,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,1481815,""" Ma“ in Virginia there was a great quantitie of Woodland Marish and other grounds beinge in cireum- ference by estimaéon fower score Miles or thereabout¢ for w™ ground he did compound with Powhatan the Indian Kinge or cheife of that place and bounded the same out with markeable Trees and other Mark¢€ of perpetuall knowledge and remembrance with a solemne 1 The caption of this petitio",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00002,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,1484008,"rest in Virginia’ The sayde Counsell and Companie for aunsweare therevnto saye that they acknowledge no Kinge of Virginia but Kinge Iames, of and vnder whome they hold and not from |king|| Powhatan so named by the Petitioners. True it is that for a permanent hono’ as well to his royall Ma“ the flounder of that Plantation as also ||to|| his Princely Issue they haue named both their 1",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00003,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,1624677,for the mainetenance of his Relict wife and Children and for his indempnity (hauinge brought vp the Child his said [combined_page=742] 106 RECORDS OF THE VIRGINIA COMPANY Brother had by Powhatan’s Daughter w™ Child is yet lyvinge and in his eustodie) It was ordered [63] that the Gouernor and Counsell of Virginia should cause enquirie be made what Landé and goodes the said Iohn Rolf,seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00004,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2666948,"II, 75. Vice-admiral in Virginia, I, 546, 549, 558. Powell, Nathaniell (captain), I, 308, 336. Died, IT, 107. Powell, William. Captain of guards, I, 126. Letter to Sir Edwin Sandys, I, 146. Powhatan, II, 395. Poyn, John (Poynes). Patents, I, 341, 347. Preiwsen, Hiddlebrand. Land transferred, I, 608. Preston, Sir Amias, I, 607. Prin, Martin. Land and freedom, II, 73, 88. Prinn, Edward.",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00005,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2795080,"hem by one braunche of this River, and by another Peecarecamicke Peccarecamirke where you shall finde foure of the englishe aliue, left by 8"" Walter Rawely wh escaped from the slaughter of Powhaton of Roanocke, vppon the Pewhalon first arrivall of our Colonie, and liue vnder the proteeéon of a wiroane *’""°""""* called Gepanocon enemy to Powhaton, by whose consent you shall neuer Gepanoc",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00006,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2795228,"Rawely wh escaped from the slaughter of Powhaton of Roanocke, vppon the Pewhalon first arrivall of our Colonie, and liue vnder the proteeéon of a wiroane *’""°""""* called Gepanocon enemy to Powhaton, by whose consent you shall neuer Gepanocun a wi- recouer them, one of these were worth much labour, and if you finde™#""° them not, yet seach into this Countrey it is more pbable then towa",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00007,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2796479,"s straungers and natiues, for ae the first yo"" defence must be vppon advauntage of the place and way vnto” ""8"" [combined_page=1295] Small fortes Cape comforte Watches Catle kept heardes Powhaton Weroances Tributary 18 RECORDS OF THE VIRGINIA COMPANY it for fortes haue no other vse but that a fewe men may defend and dispute their footinge with them against a greater nomb and to w",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00008,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2798450,"must giue order that yo’ Catle be kept in heards waited and attended on by some small watch or so enclosed by them selues that they destroy not yo’ corne and other seed provisions: 19 For Powhaton and his Weroances it is Clere even to reason beside our experience that he loued not our neigbourhood and therefore you may no way trust him, but if you finde it not best to make him yo' pr",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00009,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2798832,"yo' prisoner yet you must make him yo’ tributary, and all other his weroances about him first to acknowledge no other Lord but Kinge James, and so we shall free them all from the Tirrany of Powhaton ‘ vppon them Euery Lord of a Province shall pay you and send you into yo"" forte where you 1 Space in the manuscript. [combined_page=1296] MAY, 1609 19 make yo"" Cheif residence so many me",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00010,Powhaton,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2799463,"ou shall quietly drawe to yo’ selues an annuall revennue of every Comodity growinge in that Countrey and ¢ribute this tribute payd to you for wh you shall deliuer them from the exeaéons of Powhaton, w°h are now burdensome and ptect and defend them from all their enemies shall also be a meanes of Clearinge much ground of wood and of reducing them to laboure and trade seinge §for§ this",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00011,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2921486,people and particularly his best friend Tho: Dale all his reports are disproved before opachank?® & his Great men whereupon (to the great satisfaccion of ye Great men) Tomakin is disgraced Powhatan is gone to y® K. of May-—umps in patawamack Riv' & has left y* Gou9nt [combined_page=1351] 74 RECORDS OF THE VIRGINIA COMPANY of his Kingdom to opachank® & his other brother. thinks Hemp,seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00012,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4393996,", 75. Committee, 159. Debts owed him by planters, 175-176. Letter to Sir Edwin Sandys, 436-438. Quarrel with Sir George Yeardley settled, 445. Representative in General Assembly, 153. Powhatan, 17, 18, 19, 78, 92, 438, 707. Powhatan River, 228. Pratt, John, 87, 331, Massaered with brother, 566, Prayer Books, 178, President, Lord, of the Council Mandeville), 510. (Viscount I",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00013,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4394036,"y planters, 175-176. Letter to Sir Edwin Sandys, 436-438. Quarrel with Sir George Yeardley settled, 445. Representative in General Assembly, 153. Powhatan, 17, 18, 19, 78, 92, 438, 707. Powhatan River, 228. Pratt, John, 87, 331, Massaered with brother, 566, Prayer Books, 178, President, Lord, of the Council Mandeville), 510. (Viscount INDEX President, The, and Council of the",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00014,Powhatanes,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4716787,proeured them lyucries: these were a people chat lay betweene of Colouve & [combined_page=2195] *heamaincof adage pablsekly hy the Counselle Virginia 118 RECORDS OF THE VIRGINIA COMPANY Powhatanes Couutrey who together wt his Brother Opichankano plotted when 8° G. Yardly eame thither to breake the league betweene vs & the Chickhor nenes & effected it thus. Opichankano $pfessing mu,seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00015,Powhatan,Powhatan,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,5909008,"Sce wnder Cammoadities, arms. Powell, ditin, Powell, Wilhun, Captain, 0, 23, 101, 864, 455, 566, 569. Powle. See alse Poole. Powle, Nathaniel, Captain, 554, Powle, Sir Stephen, 363, 369. Powhatan, 10, 118. Powston, —, 80. Poyntell, Richard, 364. Paynis, 20. Prate, Richard, 554, Pratt, John, 365. Prayer Books, 271. Preston, Sir Amias, 363, 369. Prettie, George, 304. Price, Henry, 365",seed_unreviewed,leader/title-bearing individual; do not use for every Powhatan polity mention
IM00016,Oppachancano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2921185,"desires 100 men with tools & &e that he will pvide w"" victuals likes James Town better than Bermudas 40 miles aboue it, will Strengthen it. Great plenty & peace That he sent Tomakin to tell Oppachancano of his arrival & he came to James Town reéd a present w great joy. Tomakin rails ag‘ Engl! English people and particularly his best friend Tho: Dale all his reports are disproved before opa",seed_unreviewed,leader/title-bearing individual
