candidate_id,mention,canonical_candidate,entity_type_suggestion,group_suggestion,mention_count,first_document_date,source_file,annotation_status,review_note
PC00001,Jefferson,,PERSON,Virginia_Company_or_colonial_unverified,56,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00002,Brown,,PERSON,Virginia_Company_or_colonial_unverified,45,"November 20, 1606",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00003,Edwin Sandys,,PERSON,Virginia_Company_or_colonial_unverified,39,"February 28, 1610",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00004,Nos,,PERSON,Virginia_Company_or_colonial_unverified,35,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00005,John Randolph,,PERSON,Virginia_Company_or_colonial_unverified,29,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00006,Wrote,,PERSON,Virginia_Company_or_colonial_unverified,26,"FEBRUARY 22, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00007,Smith,,PERSON,Virginia_Company_or_colonial_unverified,24,"February 18, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00008,Bland,,PERSON,Virginia_Company_or_colonial_unverified,23,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00009,Gibbs,,PERSON,Virginia_Company_or_colonial_unverified,22,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00010,John Randolph of Roanoke,,PERSON,Virginia_Company_or_colonial_unverified,21,"July 3, 1622",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00011,Christopher Davison,,PERSON,Virginia_Company_or_colonial_unverified,20,"November 20, 1606",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00012,Martin,,PERSON,Virginia_Company_or_colonial_unverified,20,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00013,Byrd,,PERSON,Virginia_Company_or_colonial_unverified,19,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00014,Robinson,,PERSON,Virginia_Company_or_colonial_unverified,19,"July 3, 1622",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00015,Argall,,PERSON,Virginia_Company_or_colonial_unverified,18,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00016,R. Hickman,,PERSON,Virginia_Company_or_colonial_unverified,18,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00017,Rich,,PERSON,Virginia_Company_or_colonial_unverified,18,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00018,Deane,,PERSON,Virginia_Company_or_colonial_unverified,17,"January 16, 1795",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00019,Somers,,PERSON,Virginia_Company_or_colonial_unverified,17,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00020,Mellinge,,PERSON,Virginia_Company_or_colonial_unverified,16,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00021,Thomas Smythe,,PERSON,Virginia_Company_or_colonial_unverified,16,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00022,Caswell,,PERSON,Virginia_Company_or_colonial_unverified,15,"SANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00023,Edwyn Sandys,,PERSON,Virginia_Company_or_colonial_unverified,15,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00024,Boates,,PERSON,Virginia_Company_or_colonial_unverified,14,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00025,Bull,,PERSON,Virginia_Company_or_colonial_unverified,14,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00026,George Sandys,,PERSON,Virginia_Company_or_colonial_unverified,14,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00027,Ibid,,PERSON,Virginia_Company_or_colonial_unverified,14,"May 8, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00028,Majesty,,PERSON,Virginia_Company_or_colonial_unverified,14,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00029,Newport,,PERSON,Virginia_Company_or_colonial_unverified,14,"December 10, 1606",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00030,Thomas Dale,,PERSON,Virginia_Company_or_colonial_unverified,14,"December 13, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00031,Barbo,,PERSON,Virginia_Company_or_colonial_unverified,13,"NOVEMBER 14, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00032,Copland,,PERSON,Virginia_Company_or_colonial_unverified,13,"OCTOBER 31, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00033,James,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
